freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.597e+02,1.222e+01,1.144e+01,4.833e+02
1.5,2.939e+02,2.442e+01,2.324e+01,3.415e+02
3.0,5.713e+01,2.451e+01,2.182e+01,1.035e+02
4.4,2.873e+02,2.388e+01,2.152e+01,3.327e+02
5.9,1.153e+03,2.271e+01,2.132e+01,1.197e+03
7.4,1.974e+03,2.117e+01,2.067e+01,2.016e+03
8.9,2.891e+03,2.254e+01,2.249e+01,2.936e+03
10.4,4.186e+03,2.930e+01,2.604e+01,4.242e+03
11.8,4.974e+03,3.537e+01,2.435e+01,5.033e+03
13.3,5.435e+03,2.583e+01,2.187e+01,5.482e+03
14.8,7.328e+03,2.419e+01,2.244e+01,7.374e+03
16.3,9.752e+03,2.633e+01,2.135e+01,9.800e+03
17.8,1.248e+04,2.995e+01,2.396e+01,1.253e+04
19.2,1.550e+04,4.347e+01,3.166e+01,1.558e+04
20.7,1.903e+04,5.735e+01,3.158e+01,1.912e+04
22.2,2.379e+04,6.698e+01,2.802e+01,2.389e+04
23.7,2.899e+04,8.368e+01,2.634e+01,2.910e+04
25.2,3.515e+04,1.178e+02,2.509e+01,3.529e+04
26.7,4.255e+04,1.583e+02,3.126e+01,4.274e+04
28.1,5.230e+04,2.157e+02,3.519e+01,5.255e+04
29.6,6.583e+04,3.307e+02,4.328e+01,6.620e+04
31.1,8.317e+04,5.262e+02,5.970e+01,8.376e+04
32.6,1.060e+05,7.880e+02,8.769e+01,1.069e+05
34.1,1.379e+05,1.167e+03,1.282e+02,1.392e+05
35.5,1.852e+05,1.926e+03,2.403e+02,1.873e+05
37.0,2.660e+05,3.637e+03,5.505e+02,2.701e+05
38.5,4.077e+05,9.543e+03,2.193e+03,4.194e+05
40.0,5.911e+05,2.236e+04,9.418e+03,6.229e+05
41.5,8.064e+05,2.474e+04,1.819e+04,8.493e+05
42.9,9.618e+05,9.170e+03,1.694e+04,9.879e+05
44.4,9.312e+05,2.042e+03,1.441e+04,9.476e+05
45.9,8.593e+05,2.055e+03,1.362e+04,8.749e+05
47.4,8.044e+05,3.176e+03,1.392e+04,8.215e+05
48.9,7.523e+05,2.989e+03,1.326e+04,7.686e+05
50.3,6.807e+05,2.424e+03,1.171e+04,6.948e+05
51.8,6.145e+05,2.653e+03,1.006e+04,6.272e+05
53.3,5.340e+05,2.704e+03,9.444e+03,5.462e+05
54.8,4.571e+05,2.502e+03,8.986e+03,4.686e+05
56.3,3.773e+05,2.445e+03,8.066e+03,3.878e+05
57.7,2.994e+05,2.648e+03,7.186e+03,3.092e+05
59.2,2.531e+05,3.164e+03,5.731e+03,2.620e+05
60.7,2.255e+05,2.828e+03,4.953e+03,2.333e+05
62.2,1.970e+05,2.567e+03,4.692e+03,2.043e+05
63.7,1.599e+05,2.584e+03,4.157e+03,1.667e+05
65.1,1.258e+05,2.629e+03,3.680e+03,1.321e+05
66.6,1.004e+05,2.696e+03,3.406e+03,1.065e+05
68.1,8.607e+04,2.959e+03,3.318e+03,9.235e+04
69.6,7.279e+04,2.668e+03,2.888e+03,7.835e+04
71.1,6.155e+04,2.290e+03,2.668e+03,6.651e+04
72.6,5.883e+04,2.003e+03,2.714e+03,6.355e+04
74.0,7.111e+04,1.257e+03,2.686e+03,7.505e+04
75.5,8.504e+04,1.222e+03,2.562e+03,8.882e+04
77.0,8.123e+04,3.024e+03,2.874e+03,8.713e+04
78.5,6.660e+04,3.903e+03,3.300e+03,7.380e+04
80.0,7.337e+04,5.901e+03,3.181e+03,8.245e+04
81.4,8.324e+04,8.987e+03,3.318e+03,9.554e+04
82.9,8.657e+04,1.215e+04,3.750e+03,1.025e+05
84.4,7.794e+04,1.370e+04,3.976e+03,9.562e+04
85.9,6.775e+04,1.503e+04,4.152e+03,8.693e+04
87.4,5.819e+04,1.526e+04,4.149e+03,7.760e+04
88.8,4.855e+04,1.447e+04,4.066e+03,6.708e+04
90.3,3.926e+04,1.292e+04,3.744e+03,5.593e+04
91.8,2.208e+04,7.644e+03,2.216e+03,3.195e+04
93.3,1.184e+04,9.834e+03,3.523e+03,2.520e+04
94.8,1.058e+04,3.927e+04,1.740e+04,6.724e+04
96.2,1.067e+04,1.991e+04,8.144e+03,3.872e+04
97.7,1.067e+04,6.532e+03,1.753e+03,1.895e+04
99.2,1.033e+04,7.406e+03,1.995e+03,1.973e+04
100.7,7.545e+03,6.311e+03,1.107e+03,1.496e+04
