freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.558e+01,5.743e+02,8.673e+01,6.766e+02
1.5,4.949e+01,3.360e+02,6.809e+01,4.536e+02
3.0,5.047e+01,2.933e+01,2.457e+01,1.044e+02
4.4,4.590e+01,2.621e+02,2.176e+01,3.298e+02
5.9,4.965e+01,1.146e+03,2.189e+01,1.217e+03
7.4,4.887e+01,2.056e+03,2.326e+01,2.128e+03
8.9,5.512e+01,3.296e+03,2.547e+01,3.376e+03
10.4,7.541e+01,5.208e+03,4.989e+01,5.333e+03
11.8,1.176e+02,5.380e+03,6.820e+01,5.566e+03
13.3,8.286e+01,6.326e+03,5.152e+01,6.460e+03
14.8,5.720e+01,9.048e+03,5.324e+01,9.158e+03
16.3,5.143e+01,1.323e+04,1.076e+02,1.339e+04
17.8,5.320e+01,1.953e+04,3.589e+02,1.995e+04
19.2,6.554e+01,2.595e+04,8.730e+02,2.688e+04
20.7,6.582e+01,2.655e+04,9.122e+02,2.753e+04
22.2,6.364e+01,3.320e+04,3.571e+02,3.362e+04
23.7,7.141e+01,4.987e+04,1.413e+02,5.008e+04
25.2,9.591e+01,7.503e+04,8.325e+01,7.521e+04
26.7,1.222e+02,1.123e+05,2.645e+02,1.126e+05
28.1,1.393e+02,1.747e+05,1.673e+03,1.765e+05
29.6,3.049e+02,3.023e+05,5.851e+03,3.084e+05
31.1,8.686e+02,6.007e+05,2.006e+04,6.217e+05
32.6,2.806e+03,1.255e+06,7.274e+04,1.330e+06
34.1,5.697e+03,1.677e+06,1.475e+05,1.830e+06
35.5,6.567e+03,1.366e+06,1.615e+05,1.534e+06
37.0,6.871e+03,9.572e+05,1.403e+05,1.104e+06
38.5,7.140e+03,6.664e+05,1.109e+05,7.845e+05
40.0,6.894e+03,4.622e+05,9.161e+04,5.607e+05
41.5,7.388e+03,3.371e+05,8.794e+04,4.324e+05
42.9,7.364e+03,2.390e+05,7.979e+04,3.262e+05
44.4,6.168e+03,1.691e+05,6.845e+04,2.437e+05
45.9,6.941e+03,1.386e+05,7.410e+04,2.197e+05
47.4,7.357e+03,1.183e+05,8.301e+04,2.087e+05
48.9,7.360e+03,9.658e+04,8.856e+04,1.925e+05
50.3,9.086e+03,7.590e+04,9.443e+04,1.794e+05
51.8,8.825e+03,5.838e+04,9.582e+04,1.630e+05
53.3,7.677e+03,4.487e+04,9.516e+04,1.477e+05
54.8,9.364e+03,3.488e+04,9.403e+04,1.383e+05
56.3,9.761e+03,2.729e+04,9.057e+04,1.276e+05
57.7,6.987e+03,2.185e+04,8.243e+04,1.113e+05
59.2,4.879e+03,1.985e+04,7.173e+04,9.646e+04
60.7,3.583e+03,2.041e+04,6.006e+04,8.406e+04
62.2,3.085e+03,2.076e+04,4.983e+04,7.367e+04
63.7,2.713e+03,2.088e+04,3.961e+04,6.321e+04
65.1,2.298e+03,2.222e+04,2.885e+04,5.337e+04
66.6,1.869e+03,2.250e+04,2.205e+04,4.642e+04
68.1,1.493e+03,2.001e+04,2.056e+04,4.207e+04
69.6,1.276e+03,1.680e+04,2.209e+04,4.017e+04
71.1,1.269e+03,1.449e+04,2.256e+04,3.832e+04
72.6,1.341e+03,1.230e+04,2.124e+04,3.488e+04
74.0,1.485e+03,1.093e+04,1.952e+04,3.193e+04
75.5,1.705e+03,1.133e+04,1.773e+04,3.076e+04
77.0,1.685e+03,1.362e+04,1.599e+04,3.129e+04
78.5,2.023e+03,1.672e+04,1.372e+04,3.246e+04
80.0,3.973e+03,1.756e+04,1.034e+04,3.188e+04
81.4,6.241e+03,1.359e+04,6.574e+03,2.641e+04
82.9,7.635e+03,6.653e+03,4.188e+03,1.848e+04
84.4,8.309e+03,2.618e+03,4.279e+03,1.521e+04
85.9,7.650e+03,2.100e+03,5.324e+03,1.507e+04
87.4,6.549e+03,2.481e+03,5.897e+03,1.493e+04
88.8,5.303e+03,2.503e+03,5.887e+03,1.369e+04
90.3,4.193e+03,1.898e+03,5.299e+03,1.139e+04
91.8,3.193e+03,1.517e+03,4.667e+03,9.377e+03
93.3,3.744e+03,4.653e+03,6.744e+03,1.514e+04
94.8,6.637e+03,1.925e+04,1.592e+04,4.181e+04
96.2,5.404e+03,1.489e+04,1.420e+04,3.449e+04
97.7,3.818e+03,1.094e+04,1.307e+04,2.783e+04
99.2,3.652e+03,1.030e+04,1.298e+04,2.693e+04
100.7,2.167e+03,8.177e+03,1.154e+04,2.188e+04
102.2,1.576e+03,7.071e+03,1.081e+04,1.945e+04
103.6,1.501e+03,5.254e+03,1.093e+04,1.768e+04
105.1,1.282e+03,4.176e+03,9.664e+03,1.512e+04
106.6,9.803e+02,3.808e+03,9.077e+03,1.386e+04
108.1,7.902e+02,3.472e+03,9.254e+03,1.352e+04
109.6,6.324e+02,3.412e+03,9.890e+03,1.393e+04
111.0,5.947e+02,3.915e+03,1.093e+04,1.544e+04
112.5,6.229e+02,5.340e+03,1.172e+04,1.768e+04
114.0,7.585e+02,7.816e+03,1.190e+04,2.047e+04
115.5,8.463e+02,1.100e+04,1.099e+04,2.284e+04
117.0,1.028e+03,1.463e+04,9.483e+03,2.514e+04
118.5,6.689e+03,2.435e+04,8.084e+03,3.913e+04
119.9,1.698e+04,3.867e+04,6.857e+03,6.251e+04
121.4,7.059e+03,2.374e+04,5.313e+03,3.612e+04
122.9,9.613e+03,2.460e+04,4.817e+03,3.903e+04
124.4,2.927e+04,4.360e+04,6.422e+03,7.929e+04
125.9,7.826e+04,1.043e+05,1.078e+04,1.933e+05
127.3,1.232e+05,2.077e+05,8.989e+03,3.399e+05
128.8,1.347e+05,2.567e+05,8.343e+03,3.997e+05
130.3,2.276e+04,4.635e+04,5.474e+03,7.459e+04
131.8,1.621e+03,5.562e+03,2.906e+03,1.009e+04
133.3,7.078e+02,1.723e+03,9.735e+02,3.404e+03
134.7,3.607e+02,1.354e+02,1.481e+02,6.441e+02
136.2,3.761e+02,1.013e+02,1.202e+02,5.976e+02
137.7,4.373e+02,1.313e+02,1.711e+02,7.397e+02
139.2,4.772e+02,1.587e+02,2.283e+02,8.642e+02
140.7,5.034e+02,1.652e+02,2.619e+02,9.305e+02
142.1,4.530e+02,1.741e+02,2.668e+02,8.940e+02
143.6,4.003e+02,1.764e+02,2.452e+02,8.220e+02
145.1,3.862e+02,1.854e+02,2.214e+02,7.931e+02
146.6,4.011e+02,2.031e+02,2.456e+02,8.498e+02
148.1,3.737e+02,2.176e+02,2.752e+02,8.666e+02
149.5,3.646e+02,2.537e+02,3.448e+02,9.631e+02
151.0,3.811e+02,2.470e+02,3.669e+02,9.950e+02
152.5,4.872e+02,2.414e+02,4.565e+02,1.185e+03
154.0,6.053e+02,2.412e+02,5.225e+02,1.369e+03
155.5,5.503e+02,2.064e+02,4.703e+02,1.227e+03
156.9,5.059e+02,1.957e+02,4.463e+02,1.148e+03
158.4,4.518e+02,1.599e+02,4.216e+02,1.033e+03
159.9,4.309e+02,1.455e+02,3.979e+02,9.743e+02
161.4,4.311e+02,1.460e+02,4.098e+02,9.869e+02
162.9,4.395e+02,1.431e+02,4.195e+02,1.002e+03
164.4,4.269e+02,1.244e+02,4.066e+02,9.578e+02
165.8,3.972e+02,9.861e+01,3.518e+02,8.476e+02
167.3,3.189e+02,8.278e+01,2.843e+02,6.859e+02
168.8,2.699e+02,8.272e+01,2.332e+02,5.859e+02
170.3,2.303e+02,8.701e+01,1.946e+02,5.120e+02
171.8,2.151e+02,1.044e+02,1.744e+02,4.939e+02
173.2,2.194e+02,1.314e+02,1.889e+02,5.397e+02
174.7,1.958e+02,1.438e+02,1.803e+02,5.198e+02
176.2,2.022e+02,1.452e+02,1.970e+02,5.444e+02
177.7,1.950e+02,1.501e+02,1.941e+02,5.393e+02
179.2,1.959e+02,1.776e+02,2.280e+02,6.015e+02
180.6,2.126e+02,1.938e+02,2.526e+02,6.591e+02
182.1,1.556e+02,1.830e+02,1.884e+02,5.270e+02
183.6,1.473e+02,1.862e+02,1.784e+02,5.119e+02
185.1,1.878e+02,2.212e+02,2.246e+02,6.336e+02
186.6,1.559e+02,2.215e+02,2.058e+02,5.831e+02
188.0,1.602e+02,2.283e+02,1.948e+02,5.833e+02
189.5,1.292e+02,2.526e+02,1.852e+02,5.670e+02
191.0,1.186e+02,2.812e+02,1.925e+02,5.923e+02
192.5,1.248e+02,2.917e+02,1.935e+02,6.100e+02
194.0,1.419e+02,3.180e+02,2.378e+02,6.978e+02
195.4,1.320e+02,3.167e+02,2.339e+02,6.826e+02
196.9,1.327e+02,2.900e+02,2.259e+02,6.486e+02
198.4,1.276e+02,3.195e+02,2.301e+02,6.772e+02
199.9,1.284e+02,4.057e+02,2.820e+02,8.161e+02
